date,number,place,yellowdust(O/X),avgdust,avgwindsp(m/s),maxwinsp(m/s),maxwinspdir(deg),maxdir(deg),minview(10m),atmosdiff:+03h,:+06h,:+09h,:+12h,:+15h,:+18h,:+21h,:+24h
2020-02-22,133,Daejeon,O,,2.7,5.9,250,230,140,high,veryhigh,veryhigh,high,high,high,high,high
2020-02-22,136,Ahndong,O,77,4.4,9.2,290,290,700,veryhigh,high,high,veryhigh,high,high,high,high
2020-02-22,138,Pohang,X,,4.3,7.9,250,250,1576,high,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-02-22,143,Daegu,O,61,4.7,9.2,270,290,1055,veryhigh,high,veryhigh,veryhigh,high,high,high,high
2020-02-22,146,Jeonju,O,56,3.5,6.3,270,270,291,high,veryhigh,veryhigh,high,high,high,high,high
2020-02-22,152,Ulsan,X,31,2.5,5.3,250,250,228,high,veryhigh,veryhigh,high,high,high,high,high
2020-02-22,155,Changwon,O,,2.5,5.2,320,290,368,high,veryhigh,veryhigh,high,high,high,high,high
2020-02-22,156,Kwangju,O,69,2,4.4,270,290,122,high,veryhigh,veryhigh,high,high,high,high,high
2020-02-22,159,Busan,O,,5.9,14.2,290,270,294,high,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-02-22,165,Mokpo,O,,5.3,8.4,320,340,524,high,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh
2020-02-22,168,Yeosu,O,,6.8,13.4,270,290,163,high,high,high,veryhigh,high,high,high,high
2020-02-22,169,Heuksando,O,76,6.1,10.6,360,320,481,high,high,high,high,veryhigh,veryhigh,veryhigh,high
2020-02-22,177,Hongseong,O,,3.2,7,270,270,409,high,high,veryhigh,high,high,high,high,high
2020-02-22,184,Jeju,O,,5.1,7.8,270,320,586,high,high,high,high,high,high,high,high
2020-02-22,189,Seoguipo,O,,2.3,4.2,270,270,506,high,veryhigh,veryhigh,high,high,high,high,high
